Metric,Value
Test Accuracy,0.9953881629515757
Normal - Recall,0.9974309569685292
Pneumonia - Recall,0.9928825622775801
COVID-19 - Recall,0.994475138121547
Tuberculosis - Recall,0.9834710743801653
Normal - F1-Score,0.9961513790891597
Pneumonia - F1-Score,0.9964285714285714
COVID-19 - F1-Score,0.993103448275862
Tuberculosis - F1-Score,0.9875518672199171
Macro AUC-ROC,0.9999084922238503
Normal - AUC-ROC,0.9998088582816298
Pneumonia - AUC-ROC,0.9999511548391598
COVID-19 - AUC-ROC,0.9998939423835833
Tuberculosis - AUC-ROC,0.999980013391028
