epoch,stage,train_loss,train_accuracy,val_accuracy
1,Stage 1,0.6618825900243118,84.61760184473482,90.8531898539585
2,Stage 1,0.5861092469125964,88.84511913912375,93.1206764027671
3,Stage 1,0.5654149117559584,90.18543428132206,92.15987701767871
4,Stage 1,0.5438202147205273,91.13182167563413,93.65872405841661
5,Stage 1,0.5277201766513294,91.86683320522675,94.11990776325904
6,Stage 2,0.48282962831325665,94.22079169869332,96.27209838585703
7,Stage 2,0.43758601222837273,96.69485011529592,98.46272098385857
8,Stage 2,0.42206710402916064,97.5499615680246,98.3858570330515
9,Stage 2,0.4107025126646703,97.8718293620292,97.07916986933128
10,Stage 2,0.3989156245223199,98.48674096848578,98.88547271329746
11,Stage 2,0.3909041856592385,98.8086087624904,98.84704073789393
12,Stage 2,0.38278763682268657,99.19292851652575,99.11606456571867
13,Stage 2,0.37555475992298787,99.49558032282859,99.34665641813989
14,Stage 2,0.37151980198501716,99.70695618754804,99.42352036894697
15,Stage 2,0.37126127084707133,99.72136817832437,99.4619523443505
